STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
071560,99999, 20160101,   44.1,24,   41.0,24, 1020.2,24, 1010.6,24,   9.5,24,   5.1,24,   9.9, 999.9,   47.7 ,  40.1 , 0.00G,999.9, 010000,
071560,99999, 20160102,   48.4,24,   42.6,24, 1008.6,24,  999.1,24,  11.9,24,   8.3,24,  12.0, 999.9,   51.6 ,  44.4 , 0.06G,999.9, 010000,
071560,99999, 20160103,   45.1,24,   41.0,24, 1000.6,24,  991.2,24,  10.8,24,   8.6,24,  13.0, 999.9,   48.4 ,  42.8 , 0.06G,999.9, 010000,
071560,99999, 20160104,   45.4,24,   40.0,24,  991.3,24,  982.0,24,  11.8,24,   7.1,24,  11.1, 999.9,   50.7 ,  42.6 , 0.33G,999.9, 000000,
071560,99999, 20160105,   45.3,23,   40.2,23,  992.1,23,  982.8,23,  12.0,23,   8.3,23,   9.9, 999.9,   48.9 ,  42.4 , 0.00G,999.9, 010000,
071560,99999, 20160106,   46.4,24,   41.3,24,  997.9,24,  988.5,24,  12.3,24,   5.8,24,   8.0, 999.9,   50.5 ,  44.4*, 0.02G,999.9, 000000,
071560,99999, 20160107,   46.6,24,   39.1,24,  996.2,24,  986.9,24,  11.5,24,   9.3,24,  15.0, 999.9,   53.6 ,  43.0*, 0.02G,999.9, 010000,
071560,99999, 20160108,   42.5,24,   38.0,24, 1004.5,24,  995.0,24,  10.8,24,   3.6,24,   6.0, 999.9,   47.1 ,  38.5 , 0.22G,999.9, 000000,
071560,99999, 20160109,   46.7,24,   41.9,24,  999.2,24,  989.8,24,   8.1,24,   7.0,24,   9.9, 999.9,   52.7 ,  39.6 , 0.00G,999.9, 110000,
071560,99999, 20160110,   43.0,24,   39.0,24,  993.9,24,  984.5,24,  12.0,24,   6.5,24,  11.1, 999.9,   50.7 ,  39.4*, 0.14G,999.9, 010000,
071560,99999, 20160111,   45.4,24,   40.0,24,  989.2,24,  979.9,24,  11.4,24,   8.2,24,  13.0, 999.9,   48.4 ,  39.0 , 0.25G,999.9, 010000,
071560,99999, 20160112,   44.0,24,   36.3,24, 1003.2,24,  993.7,24,  12.3,24,   9.9,24,  13.0, 999.9,   47.1 ,  41.9*, 0.03G,999.9, 010000,
071560,99999, 20160113,   41.6,24,   33.3,24, 1017.9,24, 1008.3,24,  12.3,24,   7.4,24,  13.0, 999.9,   45.3 ,  38.1*, 0.00G,999.9, 000000,
071560,99999, 20160114,   40.8,24,   34.3,24, 1011.0,24, 1001.4,24,  12.0,24,   6.5,24,   8.9, 999.9,   46.6 ,  37.8 , 0.00G,999.9, 010000,
071560,99999, 20160115,   38.5,24,   28.8,24, 1019.4,24, 1009.7,24,  12.4,24,   7.7,24,  15.0, 999.9,   42.4 ,  36.3 , 0.11G,999.9, 000000,
071560,99999, 20160116,   38.4,24,   29.2,24, 1028.0,24, 1018.2,24,  12.3,24,   5.1,24,   8.9, 999.9,   42.6 ,  34.2 , 0.00G,999.9, 000000,
071560,99999, 20160117,   37.8,24,   29.2,24, 1027.0,24, 1017.1,24,  11.9,24,   3.7,24,   7.0, 999.9,   41.2 ,  32.7*, 0.00G,999.9, 000000,
071560,99999, 20160118,   31.1,24,   21.7,24, 1016.4,24, 1006.5,24,  12.3,24,   5.9,24,   8.0, 999.9,   37.9 ,  28.9*, 0.00G,999.9, 000000,
071560,99999, 20160119,   31.7,23,   23.2,23, 1016.0,23, 1006.2,23,   9.7,23,   2.6,23,   4.1, 999.9,   34.9 ,  27.9 , 0.00G,999.9, 000000,
071560,99999, 20160120,   28.0,24,   22.7,24, 1021.3,24, 1011.3,24,   3.7,24,   2.5,24,   4.1, 999.9,   33.6 ,  24.1 , 0.00G,999.9, 000000,
071560,99999, 20160121,   31.2,24,   24.9,24, 1025.4,24, 1015.5,24,   4.9,24,   3.8,24,   6.0, 999.9,   39.2 ,  24.1 , 0.00G,999.9, 100000,
071560,99999, 20160122,   36.7,24,   32.6,24, 1024.7,24, 1014.9,24,   6.1,24,   5.2,24,   8.9, 999.9,   44.1*,  30.4 , 0.00G,999.9, 010000,
071560,99999, 20160123,   44.5,24,   41.9,24, 1034.0,24, 1024.2,24,   6.7,24,   4.4,24,   7.0, 999.9,   46.2 ,  41.9 , 0.01G,999.9, 000000,
071560,99999, 20160124,   47.4,24,   43.8,24, 1032.1,24, 1022.4,24,  10.4,24,   4.2,24,   6.0, 999.9,   52.2 ,  43.0 , 0.02G,999.9, 010000,
071560,99999, 20160125,   48.6,24,   41.6,24, 1026.9,24, 1017.3,24,  12.0,24,   4.9,24,   8.0, 999.9,   56.8 ,  41.4 , 0.00G,999.9, 000000,
071560,99999, 20160126,   50.1,24,   44.8,24, 1025.9,24, 1016.3,24,   9.5,24,   6.8,24,  12.0, 999.9,   53.4 ,  45.7 , 0.00G,999.9, 010000,
071560,99999, 20160127,   51.8,24,   44.6,24, 1019.9,24, 1010.5,24,  11.7,24,   9.9,24,  12.0, 999.9,   54.1 ,  49.8 , 0.01G,999.9, 010000,
071560,99999, 20160128,   47.6,24,   39.9,24, 1026.8,24, 1017.1,24,  12.0,24,   4.0,24,   7.0, 999.9,   53.1 ,  41.2*, 0.11G,999.9, 010000,
071560,99999, 20160129,   44.8,24,   38.4,24, 1029.6,24, 1019.9,24,  11.8,24,   7.2,24,  13.0, 999.9,   49.3 ,  38.8 , 0.00G,999.9, 010000,
071560,99999, 20160130,   47.0,24,   42.1,24, 1017.9,24, 1008.4,24,  10.9,24,  10.2,24,  17.1, 999.9,   49.5 ,  44.2*, 0.01G,999.9, 010000,
071560,99999, 20160131,   50.9,24,   46.5,18, 1015.9,24, 1006.5,24,  10.5,24,   6.7,24,  13.0, 999.9,   57.0 ,  44.2 , 0.37G,999.9, 010000,
071560,99999, 20160201,   54.0,24,   46.1,24, 1024.9,24, 1015.4,24,  12.3,24,   8.2,24,  12.0, 999.9,   57.0 ,  52.5 , 0.06G,999.9, 010000,
071560,99999, 20160202,   50.4,24,   45.4,24, 1021.8,24, 1012.3,24,  11.2,24,   8.0,24,  11.1, 999.9,   55.0 ,  45.1*, 0.00G,999.9, 010000,
071560,99999, 20160203,   44.0,24,   36.2,24, 1025.3,24, 1015.6,24,  12.4,24,   7.5,24,  12.0, 999.9,   47.5 ,  41.7*, 0.08G,999.9, 000000,
071560,99999, 20160204,   46.5,24,   41.6,24, 1029.7,24, 1020.0,24,  11.9,24,   6.5,24,   8.9, 999.9,   52.7 ,  39.9 , 0.02G,999.9, 010000,
071560,99999, 20160205,   49.7,24,   45.7,24, 1025.1,24, 1015.5,24,  11.0,24,   5.5,24,   9.9, 999.9,   52.2 ,  46.8*, 0.01G,999.9, 000000,
071560,99999, 20160206,   51.0,24,   41.3,24, 1008.8,24,  999.4,24,  12.4,24,   8.4,24,  15.0, 999.9,   57.7 ,  43.7 , 0.00G,999.9, 000000,
071560,99999, 20160207,   48.3,24,   38.5,24, 1003.2,24,  993.8,24,  11.7,24,  10.2,24,  17.1, 999.9,   55.8 ,  44.8 , 0.15G,999.9, 010000,
071560,99999, 20160208,   49.4,24,   40.3,24, 1001.1,24,  991.8,24,  10.9,24,  13.9,24,  18.1, 999.9,   53.4 ,  43.5 , 0.02G,999.9, 010000,
071560,99999, 20160209,   45.0,24,   39.6,24,  994.0,24,  984.6,24,  10.5,24,  10.4,24,  18.1, 999.9,   55.2 ,  37.8*, 0.24G,999.9, 010000,
